glac_id,melt_rate,lat,lon,dist_km
G137058E04038S,-8.44E-13,-4.038836096,137.0578318,48.57473427
G137060E04039S,-2.81E-12,-4.038665286,137.0607091,48.57669748
G137158E04045S,-2.23E-14,-4.044895778,137.1577918,48.65126027
G137158E04048S,-4.42E-13,-4.04753733,137.1572754,48.65270798
G137160E04050S,-3.96E-12,-4.050038848,137.1593902,48.65596455
G137165E04054S,-6.86E-13,-4.054476625,137.1643389,48.66260865
G137186E04069S,2.32E-13,-4.061164297,137.1732619,48.67368237
G137157E04079S,-9.11E-14,-4.079100767,137.1569219,48.67422463
G137177E04062S,-8.50E-13,-4.062365061,137.177228,48.67738261
G137187E04069S,-8.61E-14,-4.062518142,137.177136,48.67742155
G137161E04080S,2.01E-14,-4.079648491,137.1608501,48.677446
G137179E04063S,-1.74E-13,-4.062709542,137.1788106,48.67876624
G137187E04068S,-4.71E-12,-4.065557933,137.1801398,48.68169307
G137184E04084S,-2.70E-12,-4.082660216,137.1791915,48.69280169
G137189E04086S,-3.93E-14,-4.086454713,137.1891048,48.70259665
G282593E09327S,-1.33E-12,-5.333333333,42.66666667,49.6054555
G037366E03061S,-2.17E-12,-3.060897419,37.36618833,50.96046356
G037352E03058S,6.78E-12,-3.057149707,37.35068013,50.96743927
G037352E03071S,-3.31E-13,-3.07072617,37.35174125,50.97723774
G037339E03061S,-1.90E-12,-3.061753677,37.34005616,50.97775163
G037339E03065S,-7.61E-14,-3.064771486,37.33931794,50.98054921
G037359E03082S,2.94E-12,-3.082470574,37.3553333,50.98401447
G037346E03078S,-2.27E-13,-3.077521399,37.34590099,50.98619601
G037340E03075S,-1.22E-12,-3.07441998,37.33955955,50.98783819
G037348E03083S,-1.24E-12,-3.082764609,37.34807953,50.98885544
G282656E09382S,3.85E-12,6.050898931,12.24295432,64.91018832
G069148E49045S,-2.81E-12,-49.04466367,69.14847898,78.73165342
G069135E49049S,3.15E-15,-49.04902989,69.13496484,78.73895187
G069138E49050S,7.74E-14,-49.04987565,69.13838966,78.73900415
G069110E49045S,-3.28E-12,-49.04495584,69.11030617,78.74054353
G069103E49044S,-3.02E-14,-49.04419119,69.10336346,78.74136564
G069159E49060S,NaN,-49.05871851,69.1596599,78.74283048
G069113E49048S,8.12E-14,-49.04851155,69.11293182,78.74341508
G069129E49055S_R,NaN,-49.05083095,69.11677651,78.74480735
G069095E49051S,-1.87E-12,-49.04948395,69.09849393,78.74762114
G069127E49059S,-8.25E-12,-49.05774902,69.12864544,78.74887094
G069105E49055S,-4.17E-12,-49.05270681,69.10178548,78.75001765
G069118E49061S,6.86E-14,-49.06110879,69.11779192,78.75459131
G069128E49076S,-1.38E-12,-49.0706307,69.12295019,78.7627049
G069106E49072S,-3.79E-13,-49.0716218,69.10592243,78.76751093
G069140E49090S,-2.50E-12,-49.08025252,69.13664874,78.76899235
G069099E49076S,-8.18E-14,-49.07586791,69.09861929,78.77329567
G069135E49087S,1.64E-14,-49.08755388,69.13482238,78.77651746
G069090E49086S,-5.99E-12,-49.08369876,69.1013722,78.78030316
G069122E49091S,-5.43E-13,-49.09140013,69.12255651,78.78302853
G069119E49094S,1.12E-13,-49.09370388,69.1193709,78.78599104
G069087E49086S,-6.52E-13,-49.08631223,69.08691372,78.78611313
G069077E49087S,5.60E-14,-49.08745837,69.07714328,78.78943666
G068985E49120S,-1.13E-13,-49.12040851,68.98447997,78.84251502
G068999E49130S,-5.47E-12,-49.12969769,68.99870446,78.84833488
G068982E49134S,7.64E-14,-49.13345502,68.98189449,78.85580787
G068995E49145S,-3.43E-12,-49.13830458,68.99059564,78.85855661
G069015E49182S,-6.70E-13,-49.18183782,69.01516497,78.89538882
G068928E49167S,-3.23E-12,-49.16791374,68.92885866,78.90141665
G069107E49212S,-9.55E-13,-49.21242454,69.10680065,78.90449097
G068937E49175S,-5.15E-12,-49.17492184,68.93754774,78.90626482
G069113E49221S,-2.04E-12,-49.21886439,69.11133536,78.90974416
G069062E49212S,-2.34E-11,-49.21230442,69.06191419,78.91449628
G069156E49254S,-1.41E-11,-49.25388068,69.15575197,78.93387665
G069109E49245S,-1.49E-11,-49.24501283,69.10851102,78.93585712
G069184E49273S,4.48E-11,-49.27247887,69.18350089,78.94577551
G068969E49233S,1.01E-10,-49.23250906,68.96867113,78.95527873
G069217E49330S,-2.15E-11,-49.3297531,69.21721691,78.99404814
G069104E49297S,-1.62E-09,-49.28808092,69.02088929,78.997582
G069302E49363S,-1.62E-12,-49.36040053,69.29753568,79.00600739
G069308E49374S,-2.00E-12,-49.37423979,69.3078457,79.01720636
G069284E49375S,-2.67E-13,-49.37500538,69.28497297,79.02304219
G069296E49384S,5.09E-13,-49.38299832,69.29410819,79.02880128
G069160E49362S,-3.40E-11,-49.35650507,69.14261521,79.03683096
G069018E49339S,2.10E-11,-49.33867843,69.01822099,79.04747339
G069008E49414S,1.78E-11,-49.40020995,69.02635218,79.10557934
G069050E49420S,-9.29E-12,-49.41924529,69.04715561,79.11943239
G069024E49436S,-3.86E-12,-49.42732862,69.02492121,79.13232146
G069498E49566S,-1.11E-10,-49.53994188,69.51547306,79.13295036
G069016E49428S,-3.72E-12,-49.42831948,69.01568434,79.13537133
G069499E49540S,1.56E-13,-49.54022018,69.49926473,79.13677995
G069510E49544S,-1.09E-11,-49.5437747,69.51333218,79.13715955
G069525E49547S,-4.84E-12,-49.54768278,69.52449433,79.13852382
G069489E49544S,3.29E-13,-49.5454482,69.48685633,79.14460622
G069019E49441S,NaN,-49.43994686,69.01683405,79.14643916
G069570E49567S,-8.47E-13,-49.56736847,69.57010978,79.14774212
G069533E49561S,-2.48E-12,-49.5615312,69.5385302,79.1489589
G069512E49556S,#NAME?,-49.55555766,69.51189176,79.1489714
G069501E49555S,-1.73E-12,-49.55490619,69.50095518,79.15073631
G069484E49562S,-7.14E-12,-49.56226429,69.48410599,79.16161565
G069472E49566S,-2.98E-12,-49.56069073,69.46617403,79.16402296
G069004E49463S,-2.03E-12,-49.45760459,69.01027147,79.16512244
G069451E49559S,#NAME?,-49.55885009,69.45129624,79.16550134
G069029E49470S,-3.50E-12,-49.46969045,69.02875816,79.17272634
G069443E49578S,-8.31E-12,-49.57322503,69.47441846,79.17443756
G068994E49465S,1.49E-12,-49.46452987,68.9936742,79.17561663
G068976E49465S,#NAME?,-49.46471621,68.97638176,79.17970625
G069557E49607S,NaN,-49.60666931,69.55734165,79.18888403
G069472E49588S,-8.20E-12,-49.58796356,69.47186061,79.18937785
G069549E49607S,NaN,-49.60674081,69.54876001,79.1908314
G069475E49601S,-6.79E-12,-49.59761594,69.4912123,79.19454304
G068975E49485S,6.15E-13,-49.48323012,68.96939816,79.19931977
G068978E49489S,-1.25E-12,-49.48562695,68.97505792,79.20037487
G069503E49608S,-6.76E-12,-49.60988342,69.50324453,79.2038707
G069489E49609S,-3.84E-12,-49.6084545,69.48917071,79.20556538
G068950E49490S,#NAME?,-49.49040956,68.95027464,79.21063957
G068992E49506S,#NAME?,-49.50505118,68.99117446,79.21565549
G069499E49629S,NaN,-49.62879921,69.49929309,79.22319256
G068967E49524S,-7.03E-12,-49.51667173,68.97566836,79.23047837
G068989E49522S,#NAME?,-49.52234163,68.98918992,79.23294749
G068951E49516S,-1.26E-12,-49.51630551,68.95146638,79.23559402
G068933E49514S,3.13E-13,-49.51322382,68.93165236,79.23707786
G068865E49596S,-1.53E-10,-49.52373992,68.97158491,79.2382865
G068971E49529S,-1.75E-12,-49.52829316,68.97777281,79.2413238
G068945E49540S,-6.18E-12,-49.53492663,68.95372809,79.25322077
G068911E49528S,#NAME?,-49.5277209,68.91128864,79.25581237
G068917E49538S,-9.94E-13,-49.53444117,68.91705362,79.26105102
G068963E49550S,-3.24E-12,-49.54858901,68.96280344,79.26447734
G068981E49553S,5.57E-14,-49.55341536,68.98156429,79.26494056
G068947E49546S,-1.76E-12,-49.54512385,68.94495952,79.26513725
G068899E49540S,3.21E-12,-49.53479375,68.89492069,79.2664131
G068937E49548S,-2.90E-12,-49.5482177,68.93672731,79.2700138
G068951E49557S,-6.23E-13,-49.55704966,68.9500537,79.27560158
G068935E49563S,-2.69E-12,-49.56205967,68.93297333,79.28434624
G068918E49564S,-1.45E-12,-49.56354199,68.91804275,79.28917093
G068900E49569S,6.90E-13,-49.56366087,68.89999143,79.29337778
G068939E49577S,#NAME?,-49.5773799,68.93949494,79.29779325
G068869E49572S,6.34E-12,-49.56897658,68.86768655,79.30588572
G068918E49592S,-1.25E-11,-49.59178612,68.91811449,79.31666486
G068846E49585S,-6.90E-12,-49.58496862,68.84563614,79.32646983
G068909E49609S,2.49E-12,-49.60816092,68.90688614,79.33515727
G068815E49594S,-6.95E-13,-49.59272386,68.81159428,79.34176709
G068802E49600S,-6.50E-13,-49.59807417,68.80998477,79.34734335
G068894E49620S,-8.65E-12,-49.61879093,68.89144623,79.34900963
G068822E49610S,-4.27E-12,-49.60609418,68.82654246,79.3513841
G068849E49622S,-2.21E-11,-49.61442525,68.85413508,79.35322452
G068876E49637S,-1.11E-12,-49.63379306,68.87197306,79.36803714
G068847E49643S,-2.37E-12,-49.6431501,68.84651604,79.38292916
G068852E49661S,-6.27E-12,-49.65347934,68.85323285,79.39146307
G068826E49671S,-7.85E-12,-49.67122416,68.82565655,79.41500898
G068854E49684S,-5.89E-12,-49.68414769,68.85385508,79.42118953
G068823E49684S,-1.15E-11,-49.68440143,68.82252047,79.42855416
G068838E49694S,-4.34E-12,-49.69479036,68.84770963,79.43294931
G103069E65282S,NaN,-65.28184765,103.0676528,93.63151923
G100760E65550S,1.72E-09,-65.54560733,100.7605147,93.65959326
G096599E66146S,-4.48E-10,-66.1368573,96.65959704,93.97370742
G097239E66358S,-6.94E-11,-66.35755176,97.23906012,94.22213438
G098765E66425S,-1.86E-10,-66.42106817,98.76188141,94.37591497
G076244E69376S,#NAME?,-69.37459576,76.24285382,97.62026635
G076144E69372S,NaN,-69.37209842,76.14433489,97.62856754
G076289E69401S,NaN,-69.40138683,76.28905434,97.64187628
G074423E69798S,#NAME?,-69.79773119,74.42341682,98.25493125
G058797E67114S,-3.79E-11,-67.11189855,58.80361791,98.83108339
G059360E67302S,2.07E-10,-67.30006322,59.37682127,98.85244087
G058698E67111S,-1.55E-11,-67.10826168,58.70191783,98.85621909
G058606E67100S,4.88E-11,-67.10028684,58.60576079,98.8757243
G057546E66944S,#NAME?,-66.94368118,57.5458599,99.00993787
G057507E66961S,NaN,-66.96126409,57.50743139,99.03689111
G057440E66958S,#NAME?,-66.95995937,57.44964087,99.05065367
G057488E66990S,NaN,-66.98952427,57.48796612,99.06923713
G167880E44573S,-1.90E-12,-44.57094961,167.8806018,99.18360608
G167719E44715S,-1.41E-13,-44.71465517,167.7193495,99.18393843
G167728E44715S,-2.08E-12,-44.71148278,167.7237866,99.18450802
G167794E44656S,-1.23E-12,-44.65545888,167.7943354,99.18942992
G167730E44723S,-6.81E-13,-44.7218748,167.7303877,99.19666322
G167808E44654S,-8.80E-13,-44.65360574,167.8084207,99.19739882
G167808E44661S,-4.46E-13,-44.65887525,167.8075751,99.20077668
G167764E44698S,-2.52E-13,-44.69791762,167.7644739,99.20135737
G167820E44653S,-6.98E-13,-44.65384998,167.8154359,99.20224079
G167810E44665S,-8.18E-13,-44.6652619,167.8091895,99.20662367
G167828E44655S,-5.02E-14,-44.65517306,167.8274025,99.21117839
G057016E67022S,#NAME?,-67.02164287,57.0156515,99.22396316
G167965E44571S,-4.45E-14,-44.57080443,167.9643779,99.2392273
G167969E44569S,-6.44E-13,-44.56879167,167.969454,99.24110296
G167714E44801S,-1.28E-12,-44.79888833,167.7128853,99.24270088
G167983E44567S,-1.93E-12,-44.56353031,167.9809386,99.24481952
G167970E44573S,-5.18E-14,-44.57337488,167.9705068,99.24522457
G167975E44570S,-1.32E-13,-44.56982588,167.9752609,99.24573941
G168009E44540S,-3.34E-13,-44.54018412,168.0095807,99.24646645
G168008E44544S,-7.07E-16,-44.54398418,168.0082021,99.24838364
G167989E44587S,-1.31E-12,-44.57384255,167.9759638,99.24920519
G168008E44546S,-1.97E-13,-44.54589395,168.0077582,99.249513
G167956E44595S,-5.39E-13,-44.59310165,167.9556096,99.25003813
G167990E44564S,-7.90E-14,-44.56441543,167.9902605,99.25168483
G167980E44572S,1.43E-12,-44.56975461,167.9844061,99.25177278
G167973E44581S,-4.27E-14,-44.58111223,167.9725462,99.25235708
G167975E44579S,9.42E-15,-44.57928955,167.9746929,99.25242511
G167969E44586S,-1.14E-12,-44.58457902,167.9695686,99.25296345
G168006E44554S,-1.62E-13,-44.55354618,168.0063987,99.25431735
G168009E44552S,-3.12E-13,-44.55195169,168.0088843,99.25478254
G168003E44560S,-4.96E-13,-44.55995483,168.0026928,99.25663212
G167992E44571S,-4.85E-13,-44.57041358,167.9927314,99.25780591
G168010E44557S,-4.07E-13,-44.55770216,168.0085587,99.25885647
G168005E44566S,-4.10E-13,-44.57117649,167.9957623,99.26039269
G168017E44558S,-4.41E-13,-44.55813517,168.012106,99.26154121
G168006E44565S,-1.26E-12,-44.56510533,168.00537,99.26225768
G168030E44548S,8.97E-15,-44.54768127,168.0297471,99.2654884
G168001E44582S,-1.25E-12,-44.57520079,167.9997313,99.26603783
G168019E44561S,-8.97E-14,-44.55970737,168.0191909,99.26743148
G071891E70476S,-1.33E-09,-70.45635576,71.82569264,99.26887197
G167747E44809S,-1.35E-12,-44.80811087,167.7458212,99.27144076
G168014E44570S,-2.06E-13,-44.57042083,168.0135175,99.27164808
G167961E44619S,-2.47E-13,-44.61850356,167.9607968,99.27245457
G168000E44583S,-8.20E-12,-44.58410518,168.0034977,99.27519009
G168010E44581S,-1.50E-12,-44.58082163,168.0103899,99.27732732
G167735E44826S,-3.09E-13,-44.82390269,167.7375325,99.27776798
G168025E44582S,-4.67E-12,-44.57463969,168.0180699,99.27782686
G167788E44784S,-8.90E-13,-44.78233671,167.7849146,99.27807789
G167712E44848S,-2.61E-13,-44.84836804,167.7119105,99.27910619
G167717E44844S,-3.72E-13,-44.84499451,167.7160733,99.27933826
G167720E44851S,-8.51E-13,-44.84898667,167.717222,99.28308924
G168019E44581S,-7.07E-16,-44.58083416,168.0192655,99.28324508
G167962E44633S,-2.47E-13,-44.63279885,167.9616125,99.28367141
G168006E44595S,-2.67E-13,-44.59476433,168.0055803,99.28453138
G167956E44641S,-2.04E-13,-44.63720316,167.9587981,99.28508841
G168014E44591S,-4.94E-14,-44.59070178,168.0136116,99.28684505
G168004E44600S,-1.73E-13,-44.60032929,168.0039899,99.28762628
G168003E44604S,-4.05E-13,-44.60393099,168.0031761,99.28977291
G168016E44595S,-2.13E-13,-44.59521451,168.0160046,99.2918057
G167767E44822S,-6.41E-13,-44.82224715,167.7644263,99.29435899
G167760E44828S,-1.48E-12,-44.82619057,167.7601271,99.29446033
G168024E44597S,-1.31E-13,-44.5965276,168.0241335,99.29819659
G168023E44598S,-2.97E-14,-44.59788524,168.0227621,99.29829687
G168039E44594S,-3.97E-12,-44.59158698,168.0308365,99.29897194
G168023E44600S,-1.74E-14,-44.59969761,168.0232177,99.29995261
G168041E44585S,-2.66E-13,-44.58502038,168.0408221,99.30072032
G168020E44606S,-1.94E-12,-44.60428636,168.0194844,99.30089221
G168045E44583S,-3.19E-13,-44.58287582,168.0438785,99.30115526
G168046E44588S,-2.44E-13,-44.58824201,168.0462743,99.3067542
G168054E44588S,-2.40E-13,-44.58681749,168.0527248,99.30998642
G167777E44836S,-1.08E-13,-44.83645009,167.7758432,99.31256087
G168033E44610S,-6.75E-13,-44.61023019,168.0324377,99.31395
G168038E44606S,-4.76E-14,-44.60580904,168.0380318,99.31437455
G167832E44792S,-1.98E-13,-44.79160733,167.8317301,99.31607592
G167779E44841S,-5.60E-13,-44.84009518,167.7771361,99.31614676
G168041E44606S,-3.02E-14,-44.60610053,168.0414194,99.31684717
G168044E44607S,-7.80E-13,-44.60708438,168.0440457,99.31932969
G168019E44632S,-4.08E-13,-44.63135799,168.0195784,99.32116023
G168034E44619S,-1.31E-12,-44.61807893,168.0353342,99.32173537
G168025E44629S,-9.61E-13,-44.62875938,168.0251655,99.32293877
G168048E44609S,-1.49E-13,-44.60811378,168.0491731,99.3235113
G168033E44625S,-8.98E-14,-44.62443858,168.0309787,99.3235827
G168049E44614S,4.92E-14,-44.61368047,168.049199,99.32768236
G167762E44872S,-1.98E-13,-44.87119316,167.7610359,99.32875583
G168054E44612S,-2.29E-13,-44.6118084,168.0536437,99.32924447
G168046E44619S,-1.89E-14,-44.6188747,168.0458984,99.32936125
G168028E44635S,-1.80E-13,-44.6367438,168.0263526,99.32968838
G168043E44626S,-7.97E-13,-44.62518667,168.0403976,99.33041012
G167786E44852S,-2.14E-13,-44.85206821,167.7860927,99.33104812
G168047E44622S,-3.83E-14,-44.62184978,168.0466629,99.33209031
G168035E44632S,-3.81E-13,-44.63232966,168.0349945,99.33214498
G168051E44621S,-1.30E-13,-44.61970313,168.0502661,99.33288695
G168053E44619S,-1.69E-14,-44.61866905,168.0529746,99.33391835
G168060E44616S,-3.42E-13,-44.61662333,168.0576625,99.33551275
G168025E44649S,-8.63E-13,-44.64864109,168.0227201,99.336152
G168065E44612S,-1.49E-13,-44.61158771,168.0648995,99.33657372
G168049E44627S,-5.38E-13,-44.62675455,168.0488925,99.33723464
G168323E44388S,-4.82E-13,-44.38695577,168.3200385,99.33942959
G168056E44625S,-5.34E-13,-44.6242661,168.0557344,99.33993215
G168022E44655S,-3.55E-13,-44.65503636,168.0220081,99.34045235
G168007E44672S,-1.26E-12,-44.6719121,168.0062607,99.34257548
G168002E44678S,-9.48E-13,-44.67818571,168.0006459,99.34352533
G168010E44677S,-2.42E-13,-44.67579495,168.0060376,99.34532637
G168019E44668S,-6.89E-13,-44.66820313,168.0170262,99.34696767
G168289E44428S,-1.44E-14,-44.42821542,168.2886163,99.34913141
G168007E44681S,-6.68E-14,-44.68051642,168.0067992,99.34935851
G168068E44627S,-8.11E-14,-44.62687834,168.0680178,99.35005882
G168019E44672S,-2.62E-14,-44.67221186,168.0183905,99.35086827
G168026E44666S,1.95E-13,-44.66580064,168.0258213,99.35102537
G168295E44429S,-3.05E-13,-44.42801682,168.2922319,99.35139884
G167861E44815S,-5.74E-14,-44.81544683,167.8585798,99.35172755
G168445E44293S,-4.54E-13,-44.29330446,168.4451213,99.35349152
G168451E44292S,-5.89E-13,-44.29211888,168.4501907,99.35600509
G168299E44432S,-2.76E-13,-44.43009241,168.2972784,99.35631449
G168048E44655S,-8.88E-13,-44.65516035,168.047901,99.35777482
G168054E44650S,-1.35E-13,-44.65033368,168.0543038,99.35843364
G168031E44673S,-1.68E-12,-44.6717829,168.0308659,99.35884778
G168459E44289S,-2.73E-14,-44.28884435,168.4592015,99.35960666
G168464E44287S,-9.69E-13,-44.29117626,168.4594974,99.3615367
G168050E44661S,-4.24E-14,-44.66016441,168.0495748,99.36262377
G167892E44804S,-1.21E-13,-44.80304018,167.8901266,99.36338746
G168056E44656S,-1.46E-13,-44.65602477,168.0558264,99.36369455
G168304E44436S,-6.81E-14,-44.43545674,168.3047916,99.36532532
G168359E44395S,-8.02E-13,-44.39619648,168.3486006,99.36539418
G167848E44849S,-1.31E-12,-44.84763462,167.8438445,99.36603211
G168308E44436S,-6.79E-15,-44.4356638,168.3078545,99.36752556
G168479E44286S,-9.92E-14,-44.28672121,168.4766045,99.36968442
G168051E44669S,3.42E-12,-44.6692298,168.0505877,99.37006449
G168400E44363S,-9.68E-13,-44.36291527,168.3941284,99.37109205
G167854E44846S,-2.50E-13,-44.84625763,167.8536771,99.37152499
G168446E44323S,-1.19E-12,-44.32761743,168.4349018,99.3721411
G168497E44272S,-1.00E-12,-44.27186374,168.4969963,99.37231161
G168347E44414S,-1.96E-12,-44.41276424,168.3405476,99.37233437
G168350E44404S,-5.08E-14,-44.40406027,168.35042,99.37245901
G168366E44391S,-7.02E-13,-44.39124708,168.3658119,99.37321983
G168033E44694S,-5.11E-14,-44.69376329,168.0321603,99.37611945
G168503E44272S,-4.26E-13,-44.27172003,168.5030203,99.37624067
G168375E44389S,-6.52E-14,-44.38923084,168.3747725,99.3777119
G168033E44697S,-2.53E-13,-44.69647198,168.0316804,99.37782264
G167974E44753S,-7.15E-13,-44.7500474,167.9727522,99.37865787
G168019E44710S,-1.72E-13,-44.71017742,168.0186679,99.37940181
G167932E44791S,-9.74E-13,-44.78933759,167.9312253,99.38043259
G167976E44750S,-1.04E-13,-44.74945242,167.9762604,99.38054492
G168494E44287S,-2.56E-13,-44.28618589,168.4935638,99.38064604
G168457E44321S,-6.81E-14,-44.32080565,168.4559546,99.38117279
G168438E44343S,-1.47E-13,-44.34927256,168.424889,99.38153153
G168391E44380S,-9.71E-14,-44.37949842,168.3915372,99.38168684
G168366E44403S,-1.36E-12,-44.40287931,168.3655634,99.38170402
G168018E44717S,-1.39E-13,-44.71534412,168.0172973,99.38234876
G168385E44388S,-1.41E-13,-44.38806408,168.3847831,99.38353834
G168499E44289S,-3.53E-13,-44.2856238,168.4991825,99.38399235
G168383E44391S,-3.37E-14,-44.39053194,168.3831691,99.38429397
G168413E44364S,-3.69E-13,-44.36548722,168.4115827,99.38467972
G168050E44691S,-6.84E-13,-44.68978819,168.0504872,99.38534425
G167942E44789S,-1.10E-12,-44.78729695,167.9417248,99.385881
G168395E44386S,-3.53E-12,-44.38424197,168.3925976,99.3859226
G167987E44750S,-1.24E-12,-44.7482203,167.9867966,99.38662733
G168443E44342S,-2.07E-13,-44.33522625,168.4485164,99.38690679
G168061E44688S,-9.69E-13,-44.68528741,168.0585964,99.38738005
G168400E44380S,-2.42E-14,-44.37981408,168.3997757,99.3874316
G168508E44287S,-1.49E-13,-44.28432251,168.5060486,99.38762572
G167999E44745S,-1.33E-12,-44.7440748,167.9934174,99.3879313
G168423E44359S,-1.31E-13,-44.35941042,168.4234111,99.38807675
G168354E44425S,-3.64E-12,-44.42303839,168.3540717,99.38901563
G168065E44683S,-1.01E-13,-44.68248639,168.0645374,99.3892426
G168437E44351S,-4.52E-13,-44.34907419,168.4366597,99.38926073
G168022E44724S,-2.86E-13,-44.72266844,168.0204655,99.38992569
G168505E44289S,-1.43E-13,-44.28851633,168.5049859,99.39002752
G168421E44368S,-3.19E-12,-44.36712758,168.4181272,99.3902772
G167994E44747S,-1.26E-13,-44.7472082,167.994117,99.39073722
G167951E44787S,-6.76E-13,-44.78715287,167.9492366,99.39076312
G168071E44680S,-1.03E-12,-44.68108599,168.0688818,99.39108841
G168436E44352S,-4.27E-14,-44.3514289,168.4377964,99.39177119
G168408E44380S,-6.57E-13,-44.3789745,168.4074232,99.39192263
G168445E44348S,-1.03E-12,-44.3469127,168.4440753,99.3926174
G167995E44752S,-7.07E-14,-44.75247721,167.9954502,99.39555985
G167995E44754S,-3.09E-13,-44.75241736,167.9958002,99.39574775
G167973E44774S,-4.89E-13,-44.77414623,167.9726841,99.39662037
G167999E44750S,-3.13E-13,-44.75040353,167.9997356,99.39685926
G168408E44386S,-9.39E-14,-44.38553437,168.4076838,99.39697337
G168355E44437S,-8.36E-13,-44.43932521,168.3505079,99.39874911
G168433E44365S,-5.93E-14,-44.3652697,168.4332836,99.39903687
G168488E44317S,-1.34E-13,-44.31648272,168.4880952,99.39948164
G168000E44755S,-3.40E-13,-44.75303046,168.0008138,99.39953848
G168244E44538S,-5.52E-13,-44.53894865,168.2407113,99.39959709
G168491E44315S,-1.03E-13,-44.31408383,168.4913819,99.39990112
G167984E44772S,-6.74E-13,-44.77177996,167.9812491,99.40054368
G168080E44685S,-8.46E-14,-44.68391327,168.0806974,99.40106214
G168240E44543S,-6.11E-13,-44.54283285,168.2391488,99.4014481
G167967E44786S,-2.43E-13,-44.78625935,167.9669334,99.40185198
G168373E44434S,-5.38E-12,-44.42209545,168.3748157,99.4021803
G167982E44775S,-4.53E-13,-44.77509283,167.9817457,99.40334924
G168023E44741S,-5.86E-13,-44.74026821,168.0214478,99.4037236
G168437E44371S,-9.26E-14,-44.36953052,168.4367985,99.40455519
G168240E44550S,-3.80E-13,-44.55005201,168.238551,99.40642726
G168238E44552S,-3.72E-14,-44.5518398,168.2380545,99.40742787
G168027E44744S,-2.35E-13,-44.74404371,168.0271376,99.41032684
G168236E44558S,-1.12E-13,-44.55808944,168.2357476,99.41054507
G168228E44566S,-6.86E-14,-44.56526686,168.2283497,99.41095823
G168242E44555S,-5.06E-13,-44.55473687,168.2421262,99.41230231
G168301E44504S,-1.73E-12,-44.50335495,168.3004768,99.41297967
G168234E44564S,-1.19E-13,-44.56387809,168.2348289,99.41424504
G168033E44744S,-8.20E-13,-44.7442907,168.0328112,99.41428403
G168239E44562S,-1.56E-13,-44.56175361,168.2387521,99.41527906
G168307E44503S,-6.51E-13,-44.50272059,168.3060694,99.41624157
G168398E44423S,-4.27E-14,-44.42237107,168.396777,99.41706758
G168242E44562S,1.65E-14,-44.56279325,168.2408371,99.41744437
G168235E44568S,-6.34E-13,-44.57313713,168.2293979,99.41752153
G168392E44429S,-3.66E-14,-44.42891549,168.3923094,99.41894729
G168362E44457S,-1.11E-14,-44.4568693,168.3612988,99.41901179
G168366E44453S,-9.89E-14,-44.4529018,168.3657736,99.41905065
G168320E44499S,-1.57E-12,-44.49896157,168.3151054,99.41947711
G168400E44427S,-5.82E-14,-44.42655322,168.3987792,99.42151623
G168405E44422S,-7.56E-14,-44.42201915,168.4038348,99.42152503
G168308E44510S,-9.48E-14,-44.50952466,168.3074779,99.42224719
G168313E44507S,-3.97E-13,-44.50651908,168.3112124,99.42250325
G168038E44751S,-4.94E-14,-44.7509226,168.0380455,99.42271783
G168387E44440S,2.67E-14,-44.43997051,168.386972,99.42360075
G168396E44433S,-4.39E-13,-44.43356471,168.3941507,99.42363579
G168022E44766S,-4.91E-13,-44.76619665,168.0223695,99.42370393
G168399E44430S,-3.09E-13,-44.42986528,168.3984316,99.42374674
G168294E44527S,-8.41E-13,-44.52400724,168.2938741,99.42394767
G168240E44573S,-3.49E-14,-44.57303043,168.2392116,99.4239873
G168237E44575S,-2.92E-13,-44.57502532,168.2372106,99.42413906
G168040E44753S,-8.80E-13,-44.75357417,168.0373177,99.42421428
G168305E44515S,-5.53E-14,-44.51451102,168.3052408,99.42446573
G168394E44438S,-2.63E-13,-44.43734631,168.392022,99.42502497
G168026E44766S,-2.19E-14,-44.76566654,168.0257608,99.42556251
G168411E44426S,-5.48E-13,-44.42508347,168.4068618,99.42582756
G168298E44524S,-6.21E-13,-44.52155001,168.2996168,99.42595163
G168313E44512S,-2.76E-13,-44.51145425,168.311112,99.42611011
G168066E44731S,-1.26E-13,-44.73110854,168.0657868,99.42637221
G168030E44764S,-1.08E-12,-44.7634691,168.0298048,99.42660971
G168239E44577S,-1.77E-13,-44.57686986,168.2391295,99.42679321
G168237E44579S,-4.71E-14,-44.57913957,168.2370532,99.42709958
G168071E44728S,-5.84E-14,-44.72798964,168.0707649,99.42735519
G168002E44792S,-4.63E-13,-44.79120565,167.999861,99.42742792
G168024E44771S,-7.36E-13,-44.76904724,168.0247683,99.42742812
G168334E44494S,-2.01E-13,-44.49209371,168.3353263,99.42786989
G168412E44423S,-3.72E-14,-44.42314363,168.4123438,99.42805089
G168416E44422S,-1.17E-13,-44.4215884,168.4140745,99.42805186
G168282E44541S,-9.77E-14,-44.54070917,168.2817351,99.42828242
G167999E44796S,-5.81E-13,-44.79408102,167.998525,99.42868877
G168283E44541S,-4.41E-13,-44.54113824,168.2828225,99.42932761
G168037E44761S,-1.12E-12,-44.76094721,168.0369875,99.42950167
G168242E44591S,-2.79E-12,-44.58992373,168.2287603,99.42960498
G168290E44537S,-3.28E-13,-44.53573619,168.2893883,99.42968695
G168315E44515S,-1.03E-13,-44.51430635,168.3135634,99.42987008
